logonEmailAddress,logonStartTimestamp,logonEndTimestamp
firstname.lastname@company.com,2021-12-01 12:00:00,2022-04-27 12:00:00
firstname.lastname@company.com,2021-12-02 11:00:00,2022-04-24 11:00:00
firstname.lastname@company.com,2021-12-03 10:00:00,2022-04-25 10:00:00
firstname.lastname@company.com,2021-12-04 10:00:00,2022-04-26 10:30:00
firstname.lastname@company.com,2021-12-05 09:50:00,2022-04-23 12:54:00
firstname.lastname@company.com,2021-12-06 09:45:00,2022-04-22 11:43:00
firstname.lastname@company.com,2021-12-03 09:00:00,2022-04-21 10:40:00
firstname.lastname@company.com,2021-12-02 11:30:00,2022-04-20 11:30:00
firstname.lastname@company.com,2021-12-05 10:15:00,2022-04-19 10:00:00
firstname.lastname@company.com,2021-12-06 09:20:00,2022-04-18 12:45:00
firstname.lastname@company.com,2021-12-08 11:40:00,2022-04-17 09:56:00
firstname.lastname@company.com,2021-12-09 10:00:00,2022-04-16 12:34:00
firstname.lastname@company.com,2021-12-01 09:55:00,2022-04-15 12:20:00
firstname.lastname@company.com,2021-12-02 09:50:00,2022-04-14 11:20:00
firstname.lastname@company.com,2021-12-03 11:30:00,2022-04-13 10:50:00
firstname.lastname@company.com,2021-12-04 10:00:00,2022-04-12 12:45:00
firstname.lastname@company.com,2021-12-05 11:40:00,2022-04-11 10:32:00
firstname.lastname@company.com,2021-12-08 09:30:00,2022-04-10 11:00:00
firstname.lastname@company.com,2021-12-06 10:00:00,2022-04-09 12:30:00
